playerID,name,position,age,PER,usage%,gp,yr,draftyr
rileypa01,Pat Riley,SMALL FORWARD,29,12.4,0.0,46,1975,1968
rulebo01,Bob Rule,CENTER,24,18.6,0.0,82,1969,1968
turnebi01,Bill Turner,SMALL FORWARD,24,12.2,0.0,79,1969,1968
walkeji01,Jimmy Walker,SHOOTING GUARD,25,16.4,0.0,81,1970,1968
wetzejo01,John Wetzel,SHOOTING GUARD,30,12.2,0.0,63,1975,1971
williar01,Art Williams,POINT GUARD,30,15.2,0.0,80,1970,1968
abdulza01,Zaid Abdul-Aziz,CENTER,28,17.1,0.0,65,1975,1969
adelmri01,Rick Adelman,POINT GUARD,24,13.4,0.0,81,1971,1969
boerwto01,Tom Boerwinkle,CENTER,25,20.4,0.0,82,1971,1969
chanedo01,Don Chaney,SHOOTING GUARD,26,13.6,0.0,79,1973,1970
cunnidi01,Dick Cunningham,CENTER,24,11.7,0.0,76,1971,1969
fostefr01,Fred Foster,SMALL FORWARD,23,12.4,0.0,74,1970,1969
hayesel01,Elvin Hayes,POWER FORWARD,31,19.8,0.0,82,1977,1969
hewitbi01,Bill Hewitt,POWER FORWARD,24,11.2,0.0,75,1969,1969
kauffbo01,Bob Kauffman,POWER FORWARD,24,20.9,0.0,78,1971,1969
lantzst01,Stu Lantz,SHOOTING GUARD,24,16.8,0.0,82,1971,1969
maydo01,Don May,SMALL FORWARD,25,17.1,0.0,76,1971,1969
mooreot01,Otto Moore,CENTER,23,14.3,0.0,81,1970,1969
riordmi01,Mike Riordan,SMALL FORWARD,27,15.6,0.0,82,1973,1969
schluda01,Dale Schlueter,CENTER,26,15.8,0.0,81,1972,1970
smithgr02,Greg Smith,CENTER,22,16.1,14.7,70,2013,1969
unselwe01,Wes Unseld,CENTER,22,18.1,0.0,82,1969,1969
williro01,Ron Williams,POINT GUARD,26,14.6,0.0,82,1971,1969
willisa02,Sam Williams,POWER FORWARD,23,15.6,16.8,75,1983,1969
abdulka01,Kareem Abdul-Jabbar,CENTER,24,29.9,0.0,81,1972,1970
allenlu01,Lucius Allen,POINT GUARD,26,18.8,0.0,72,1974,1970
beardbu01,Butch Beard,POINT GUARD,27,16.1,0.0,82,1975,1970
cartefr01,Fred Carter,POINT GUARD,29,15.9,0.0,77,1975,1970
dandrbo01,Bob Dandridge,SMALL FORWARD,28,19.1,0.0,73,1976,1970
gillihe01,Herm Gilliam,SHOOTING GUARD,28,16.2,0.0,60,1975,1970
greenla01,Lamar Green,POWER FORWARD,24,12.1,0.0,67,1972,1970
hawkico01,Connie Hawkins,SMALL FORWARD,27,19.7,0.0,81,1970,1970
kuberst01,Steve Kuberski,POWER FORWARD,23,11.8,0.0,82,1971,1970
mixst01,Steve Mix,SMALL FORWARD,33,19.7,23.4,72,1981,1974
roberri01,Rick Roberson,CENTER,26,16.1,0.0,69,1974,1970
smithbi02,Bingo Smith,SHOOTING GUARD,26,16.3,0.0,73,1973,1970
vanlino01,Norm Van Lier,SHOOTING GUARD,23,16.2,0.0,82,1971,1970
walkne01,Neal Walk,CENTER,25,19.1,0.0,82,1974,1970
whitejo01,Jo Jo White,POINT GUARD,24,16.2,0.0,75,1971,1970
winfile01,Lee Winfield,POINT GUARD,23,15.2,0.0,79,1971,1970
adamsdo01,Don Adams,SMALL FORWARD,29,11.7,0.0,77,1977,1971
architi01,Tiny Archibald,POINT GUARD,24,25.2,0.0,80,1973,1971
awtrede01,Dennis Awtrey,CENTER,22,13.5,0.0,70,1971,1971
cowenda01,Dave Cowens,CENTER,26,19.3,0.0,65,1975,1971
haywosp01,Spencer Haywood,POWER FORWARD,23,22.7,0.0,77,1973,1972
heardga01,Gar Heard,POWER FORWARD,25,16.0,0.0,81,1974,1971
hummejo01,John Hummer,CENTER,22,12.0,0.0,81,1971,1971
johnsge03,George Johnson,POWER FORWARD,24,17.4,22.9,43,1981,1973
